numero_amostra,accel_x,accel_y,accel_z,giro_x,giro_y,giro_z
153,0.7689,0.7839,0.7528,96.16,98.05,94.15
154,0.7689,0.7996,0.7528,96.16,100.00,94.15
155,0.7689,0.8152,0.7528,96.16,101.95,94.15
156,0.7689,0.8308,0.7528,96.16,103.91,94.15
157,0.7689,0.8464,0.7528,96.16,105.86,94.15
158,0.7689,0.8621,0.7528,96.16,107.82,94.15
159,0.7689,0.8777,0.7528,96.16,109.77,94.15
160,0.7689,0.8933,0.7528,96.16,111.73,94.15
161,0.7689,0.7527,0.7528,96.17,94.14,94.15
162,0.7689,0.7683,0.7528,96.17,96.09,94.15
163,0.7689,0.7839,0.7528,96.17,98.05,94.15
164,0.7689,0.7996,0.7528,96.17,100.00,94.15
165,0.7689,0.8152,0.7528,96.17,101.95,94.15
166,0.7689,0.8308,0.7528,96.17,103.91,94.15
167,0.7689,0.8464,0.7528,96.17,105.86,94.15
168,0.7689,0.8621,0.7528,96.17,107.82,94.15
169,0.7689,0.8777,0.7528,96.17,109.77,94.15
170,0.7689,0.8933,0.7528,96.17,111.73,94.15
171,0.7690,0.7527,0.7528,96.18,94.14,94.15
172,0.7690,0.7683,0.7528,96.18,96.09,94.15
173,0.7690,0.7839,0.7528,96.18,98.05,94.15
174,0.7690,0.7996,0.7528,96.18,100.00,94.15
175,0.7690,0.8152,0.7528,96.18,101.95,94.15
176,0.7690,0.8308,0.7528,96.18,103.91,94.15
177,0.7690,0.8464,0.7528,96.18,105.86,94.15
178,0.7690,0.8621,0.7528,96.18,107.82,94.15
179,0.7690,0.8777,0.7528,96.18,109.77,94.15
180,0.7690,0.8933,0.7528,96.18,111.73,94.15
181,0.7690,0.7527,0.7528,96.18,94.14,94.15
182,0.7690,0.7683,0.7528,96.18,96.09,94.15
183,0.7690,0.7839,0.7528,96.18,98.05,94.15
184,0.7690,0.7996,0.7528,96.18,100.00,94.15
185,0.7690,0.8152,0.7528,96.18,101.95,94.15
186,0.7690,0.8308,0.7528,96.18,103.91,94.15
187,0.7690,0.8464,0.7528,96.18,105.86,94.15
188,0.7690,0.8621,0.7528,96.18,107.82,94.15
189,0.7690,0.8777,0.7528,96.18,109.77,94.15
190,0.7690,0.8933,0.7528,96.18,111.73,94.15
191,0.7691,0.7527,0.7528,96.19,94.14,94.15
192,0.7691,0.7683,0.7528,96.19,96.09,94.15
193,0.7691,0.7839,0.7528,96.19,98.05,94.15
194,0.7691,0.7996,0.7528,96.19,100.00,94.15
195,0.7691,0.8152,0.7528,96.19,101.95,94.15
196,0.7691,0.8308,0.7528,96.19,103.91,94.15
197,0.7691,0.8464,0.7528,96.19,105.86,94.15
198,0.7691,0.8621,0.7528,96.19,107.82,94.15
199,0.7691,0.8777,0.7528,96.19,109.77,94.15
200,0.7691,0.8933,0.7528,96.19,111.73,94.15
201,0.7842,0.7527,0.7528,98.08,94.14,94.15
202,0.7842,0.7683,0.7528,98.08,96.09,94.15
203,0.7842,0.7839,0.7528,98.08,98.05,94.15
204,0.7842,0.7996,0.7528,98.08,100.00,94.15
205,0.7842,0.8152,0.7528,98.08,101.95,94.15
206,0.7842,0.8308,0.7528,98.08,103.91,94.15
207,0.7842,0.8464,0.7528,98.08,105.86,94.15
208,0.7842,0.8621,0.7528,98.08,107.82,94.15
209,0.7842,0.8777,0.7528,98.08,109.77,94.15
210,0.7842,0.8933,0.7528,98.08,111.73,94.15
211,0.7842,0.7527,0.7528,98.08,94.14,94.15
212,0.7842,0.7683,0.7528,98.08,96.09,94.15
213,0.7842,0.7839,0.7528,98.08,98.05,94.15
214,0.7842,0.7996,0.7528,98.08,100.00,94.15
215,0.7842,0.8152,0.7528,98.08,101.95,94.15
216,0.7842,0.8308,0.7528,98.08,103.91,94.15
217,0.7842,0.8464,0.7528,98.08,105.86,94.15
218,0.7842,0.8621,0.7528,98.08,107.82,94.15
219,0.7842,0.8777,0.7528,98.08,109.77,94.15
220,0.7842,0.8933,0.7528,98.08,111.73,94.15
221,0.7843,0.7527,0.7528,98.09,94.14,94.15
222,0.7843,0.7683,0.7528,98.09,96.09,94.15
223,0.7843,0.7839,0.7528,98.09,98.05,94.15
224,0.7843,0.7996,0.7528,98.09,100.00,94.15
225,0.7843,0.8152,0.7528,98.09,101.95,94.15
226,0.7843,0.8308,0.7528,98.09,103.91,94.15
227,0.7843,0.8464,0.7528,98.09,105.86,94.15
228,0.7843,0.8621,0.7528,98.09,107.82,94.15
229,0.7843,0.8777,0.7528,98.09,109.77,94.15
230,0.7843,0.8933,0.7528,98.09,111.73,94.15
231,0.7844,0.7527,0.7528,98.10,94.14,94.15
232,0.7844,0.7683,0.7528,98.10,96.09,94.15
233,0.7844,0.7839,0.7528,98.10,98.05,94.15
234,0.7844,0.7996,0.7528,98.10,100.00,94.15
235,0.7844,0.8152,0.7528,98.10,101.95,94.15
236,0.7844,0.8308,0.7528,98.10,103.91,94.15
237,0.7844,0.8464,0.7528,98.10,105.86,94.15
238,0.7844,0.8621,0.7528,98.10,107.82,94.15
239,0.7844,0.8777,0.7528,98.10,109.77,94.15
240,0.7844,0.8933,0.7528,98.10,111.73,94.15
241,0.7844,0.7527,0.7528,98.11,94.14,94.15
242,0.7844,0.7683,0.7528,98.11,96.09,94.15
243,0.7844,0.7839,0.7528,98.11,98.05,94.15
244,0.7844,0.7996,0.7528,98.11,100.00,94.15
245,0.7844,0.8152,0.7528,98.11,101.95,94.15
246,0.7844,0.8308,0.7528,98.11,103.91,94.15
247,0.7844,0.8464,0.7528,98.11,105.86,94.15
248,0.7844,0.8621,0.7528,98.11,107.82,94.15
249,0.7844,0.8777,0.7528,98.11,109.77,94.15
250,0.7844,0.8933,0.7528,98.11,111.73,94.15
251,0.7845,0.7527,0.7528,98.11,94.14,94.15
252,0.7845,0.7683,0.7528,98.11,96.09,94.15
253,0.7845,0.7839,0.7528,98.11,98.05,94.15
254,0.7845,0.7996,0.7528,98.11,100.00,94.15
255,0.7845,0.8152,0.7528,98.11,101.95,94.15
256,0.7845,0.8308,0.7528,98.11,103.91,94.15
257,0.7845,0.8464,0.7528,98.11,105.86,94.15
258,0.7845,0.8621,0.7528,98.11,107.82,94.15
259,0.7845,0.8777,0.7528,98.11,109.77,94.15
260,0.7845,0.8933,0.7528,98.11,111.73,94.15
261,0.7845,0.7527,0.7528,98.12,94.14,94.15
262,0.7845,0.7683,0.7528,98.12,96.09,94.15
263,0.7845,0.7839,0.7528,98.12,98.05,94.15
264,0.7845,0.7996,0.7528,98.12,100.00,94.15
265,0.7845,0.8152,0.7528,98.12,101.95,94.15
266,0.7845,0.8308,0.7528,98.12,103.91,94.15
267,0.7845,0.8464,0.7528,98.12,105.86,94.15
268,0.7845,0.8621,0.7528,98.12,107.82,94.15
269,0.7845,0.8777,0.7528,98.12,109.77,94.15
270,0.7845,0.8933,0.7528,98.12,111.73,94.15
271,0.7846,0.7527,0.7528,98.13,94.14,94.15
272,0.7846,0.7683,0.7528,98.13,96.09,94.15
273,0.7846,0.7839,0.7528,98.13,98.05,94.15
274,0.7846,0.7996,0.7528,98.13,100.00,94.15
275,0.7846,0.8152,0.7528,98.13,101.95,94.15
276,0.7846,0.8308,0.7528,98.13,103.91,94.15
277,0.7846,0.8464,0.7528,98.13,105.86,94.15
278,0.7846,0.8621,0.7528,98.13,107.82,94.15
279,0.7846,0.8777,0.7528,98.13,109.77,94.15
280,0.7846,0.8933,0.7528,98.13,111.73,94.15
281,0.7847,0.7527,0.7528,98.14,94.14,94.15
282,0.7847,0.7683,0.7528,98.14,96.09,94.15
283,0.7847,0.7839,0.7528,98.14,98.05,94.15
284,0.7847,0.7996,0.7528,98.14,100.00,94.15
285,0.7847,0.8152,0.7528,98.14,101.95,94.15
286,0.7847,0.8308,0.7528,98.14,103.91,94.15
287,0.7847,0.8464,0.7528,98.14,105.86,94.15
288,0.7847,0.8621,0.7528,98.14,107.82,94.15
289,0.7847,0.8777,0.7528,98.14,109.77,94.15
290,0.7847,0.8933,0.7528,98.14,111.73,94.15
291,0.7847,0.7527,0.7528,98.15,94.14,94.15
292,0.7847,0.7683,0.7528,98.15,96.09,94.15
293,0.7847,0.7839,0.7528,98.15,98.05,94.15
294,0.7847,0.7996,0.7528,98.15,100.00,94.15
295,0.7847,0.8152,0.7528,98.15,101.95,94.15
296,0.7847,0.8308,0.7528,98.15,103.91,94.15
297,0.7847,0.8464,0.7528,98.15,105.86,94.15
298,0.7847,0.8621,0.7528,98.15,107.82,94.15
299,0.7847,0.8777,0.7528,98.15,109.77,94.15
300,0.7847,0.8933,0.7528,98.15,111.73,94.15
301,0.7998,0.7527,0.7528,100.03,94.14,94.15
302,0.7998,0.7683,0.7528,100.03,96.09,94.15
303,0.7998,0.7839,0.7528,100.03,98.05,94.15
304,0.7998,0.7996,0.7528,100.03,100.00,94.15
305,0.7998,0.8152,0.7528,100.03,101.95,94.15
306,0.7998,0.8308,0.7528,100.03,103.91,94.15
307,0.7998,0.8464,0.7528,100.03,105.86,94.15
308,0.7998,0.8621,0.7528,100.03,107.82,94.15
309,0.7998,0.8777,0.7528,100.03,109.77,94.15
310,0.7998,0.8933,0.7528,100.03,111.73,94.15
311,0.7999,0.7527,0.7528,100.04,94.14,94.15
312,0.7999,0.7683,0.7528,100.04,96.09,94.15
313,0.7999,0.7839,0.7528,100.04,98.05,94.15
314,0.7999,0.7996,0.7528,100.04,100.00,94.15
315,0.7999,0.8152,0.7528,100.04,101.95,94.15
316,0.7999,0.8308,0.7528,100.04,103.91,94.15
317,0.7999,0.8464,0.7528,100.04,105.86,94.15
318,0.7999,0.8621,0.7528,100.04,107.82,94.15
319,0.7999,0.8777,0.7528,100.04,109.77,94.15
320,0.7999,0.8933,0.7528,100.04,111.73,94.15
321,0.7999,0.7527,0.7528,100.05,94.14,94.15
322,0.7999,0.7683,0.7528,100.05,96.09,94.15
323,0.7999,0.7839,0.7528,100.05,98.05,94.15
324,0.7999,0.7996,0.7528,100.05,100.00,94.15
325,0.7999,0.8152,0.7528,100.05,101.95,94.15
326,0.7999,0.8308,0.7528,100.05,103.91,94.15
327,0.7999,0.8464,0.7528,100.05,105.86,94.15
328,0.7999,0.8621,0.7528,100.05,107.82,94.15
329,0.7999,0.8777,0.7528,100.05,109.77,94.15
330,0.7999,0.8933,0.7528,100.05,111.73,94.15
331,0.8000,0.7527,0.7528,100.05,94.14,94.15
332,0.8000,0.7683,0.7528,100.05,96.09,94.15
333,0.8000,0.7839,0.7528,100.05,98.05,94.15
334,0.8000,0.7996,0.7528,100.05,100.00,94.15
335,0.8000,0.8152,0.7528,100.05,101.95,94.15
336,0.8000,0.8308,0.7528,100.05,103.91,94.15
337,0.8000,0.8464,0.7528,100.05,105.86,94.15
338,0.8000,0.8621,0.7528,100.05,107.82,94.15
339,0.8000,0.8777,0.7528,100.05,109.77,94.15
340,0.8000,0.8933,0.7528,100.05,111.73,94.15
341,0.8000,0.7527,0.7528,100.06,94.14,94.15
342,0.8000,0.7683,0.7528,100.06,96.09,94.15
343,0.8000,0.7839,0.7528,100.06,98.05,94.15
344,0.8000,0.7996,0.7528,100.06,100.00,94.15
345,0.8000,0.8152,0.7528,100.06,101.95,94.15
346,0.8000,0.8308,0.7528,100.06,103.91,94.15
347,0.8000,0.8464,0.7528,100.06,105.86,94.15
348,0.8000,0.8621,0.7528,100.06,107.82,94.15
349,0.8000,0.8777,0.7528,100.06,109.77,94.15
350,0.8000,0.8933,0.7528,100.06,111.73,94.15
351,0.8001,0.7527,0.7528,100.07,94.14,94.15
352,0.8001,0.7683,0.7528,100.07,96.09,94.15
353,0.8001,0.7839,0.7528,100.07,98.05,94.15
354,0.8001,0.7996,0.7528,100.07,100.00,94.15
355,0.8001,0.8152,0.7528,100.07,101.95,94.15
356,0.8001,0.8308,0.7528,100.07,103.91,94.15
357,0.8001,0.8464,0.7528,100.07,105.86,94.15
358,0.8001,0.8621,0.7528,100.07,107.82,94.15
